Table Name,Column Name,Data Type,Key,References,Nullable,Column Description,Synthetic Example Value
bank_relations,kyc_status,STRING,,,N,"Complete, due, overdue, blocked or exit.",complete
bank_relations,risk_score,INTEGER,,,Y,Current BR risk score.,35
bank_relations,risk_band,STRING,,,Y,Current BR risk band.,Medium
bank_relations,source_of_wealth_text,STRING,,,Y,Declared source of wealth.,Sale of consulting company
bank_relations,expected_annual_turnover_amount,"DECIMAL(18,2)",,,Y,Expected annual account turnover.,750000
bank_relations,expected_assets_amount,"DECIMAL(18,2)",,,Y,Expected assets under management.,2400000
bank_relations,status,STRING,,,N,Lifecycle status.,active
bank_relations,start_date,DATE,,,N,SCD2 validity start date for this dimensional record.,46023
bank_relations,end_date,DATE,,,Y,SCD2 validity end date; blank means current record.,
client_relation_roles,client_relation_role_id,STRING,PK,,N,Simple client role identifier.,PROLE_000001
client_relation_roles,bank_relation_id,STRING,FK,bank_relations.bank_relation_id,N,Relationship being served.,BR_200001
client_relation_roles,client_id,STRING,FK,clients.client_id,N,Client playing the role.,PTY_100001
client_relation_roles,role_type,STRING,,,N,"Account holder, beneficial owner, authorized signatory, power of attorney, guardian, advisor.",Account holder
client_relation_roles,ownership_percentage,"DECIMAL(5,2)",,,Y,Ownership or control percentage.,100
client_relation_roles,role_start_date,DATE,,,Y,Start of role.,44351
client_relation_roles,role_end_date,DATE,,,Y,End of role.,
client_relation_roles,is_controlling_person_flag,BOOLEAN,,,N,Whether role has control rights.,TRUE
client_relation_roles,signature_authority_level,STRING,,,Y,"None, view, limited, full.",full
client_relation_roles,verification_status,STRING,,,Y,Verification status of role.,verified
client_relation_roles,approval_staff_id,STRING,FK,bank_people.staff_id,Y,Staff who approved role.,EMP_0012
client_relation_roles,comments,STRING,,,Y,Role comments.,Sole beneficial owner
client_relation_roles,start_date,DATE,,,N,SCD2 validity start date for this dimensional record.,46023
client_relation_roles,end_date,DATE,,,Y,SCD2 validity end date; blank means current record.,
relation_markers,relation_marker_id,STRING,PK,,N,Simple BR flag identifier.,BFLG_000001
relation_markers,bank_relation_id,STRING,FK,bank_relations.bank_relation_id,N,Flagged bank relation.,BR_200001
relation_markers,flag_type,STRING,,,N,"Enhanced monitoring, SAR, unusual transaction, sanctions, tax, exit restriction.",unusual_transaction
relation_markers,flag_severity,STRING,,,N,"Low, medium, high, critical.",high
relation_markers,flag_status,STRING,,,N,"Open, mitigated, closed, false positive.",open
relation_markers,detected_date,DATE,,,N,Date flag was created.,46093
relation_markers,resolved_date,DATE,,,Y,Date flag was resolved.,
relation_markers,source_event_type,STRING,,,Y,"Alert, manual review, KYC review, screening hit.",alert
relation_markers,source_event_id,STRING,,,Y,Identifier of triggering event.,ALERT_900001
relation_markers,assigned_staff_id,STRING,FK,bank_people.staff_id,Y,Owner.,EMP_0021
relation_markers,mitigation_note,STRING,,,Y,Short mitigation note.,Pending escalation committee
relation_markers,next_review_date,DATE,,,Y,Next review date.,46124
bank_accounts,account_id,STRING,PK,,N,Simple account identifier.,ACC_300001
bank_accounts,bank_relation_id,STRING,FK,bank_relations.bank_relation_id,N,Owning bank relation.,BR_200001
bank_accounts,moral_entity_id,STRING,FK,moral_entities.moral_entity_id,N,Booking moral entity.,LE_CH_BANK_01
bank_accounts,service_product_id,STRING,FK,service_products.service_product_id,Y,Product classification.,PROD_CURRENT_ACCOUNT
bank_accounts,account_number,STRING,,,N,Synthetic account number.,CH-000-300001
bank_accounts,iban,STRING,,,Y,Synthetic IBAN-like value.,CH9300762011623852957
bank_accounts,account_name,STRING,,,Y,Display account name.,Alex Morgan CHF account
bank_accounts,account_type,STRING,,,N,"Current, savings, custody, card, loan, nostro, margin.",current
bank_accounts,currency_code,STRING,,,N,Account currency.,CHF
bank_accounts,open_date,DATE,,,Y,Account opening date.,44357
bank_accounts,close_date,DATE,,,Y,Account closing date.,
bank_accounts,account_status,STRING,,,N,"Open, dormant, blocked, closed.",open
bank_accounts,statement_frequency,STRING,,,Y,"Daily, monthly, quarterly, annual.",monthly
bank_accounts,overdraft_limit_amount,"DECIMAL(18,2)",,,Y,Allowed overdraft limit.,10000
bank_accounts,risk_score,INTEGER,,,Y,Account risk score.,28
bank_accounts,last_activity_date,DATE,,,Y,Last transaction date.,46127
bank_accounts,start_date,DATE,,,N,SCD2 validity start date for this dimensional record.,46023
bank_accounts,end_date,DATE,,,Y,SCD2 validity end date; blank means current record.,
bank_account_balance_snapshots,balance_snapshot_id,STRING,PK,,N,Simple balance record identifier.,BAL_000001
bank_account_balance_snapshots,account_id,STRING,FK,bank_accounts.account_id,N,Account being valued.,ACC_300001
bank_account_balance_snapshots,balance_date,DATE,,,N,Balance snapshot date.,46113
bank_account_balance_snapshots,currency_code,STRING,,,N,Balance currency.,CHF
bank_account_balance_snapshots,opening_balance_amount,"DECIMAL(18,2)",,,Y,Opening balance amount.,12500
bank_account_balance_snapshots,closing_balance_amount,"DECIMAL(18,2)",,,N,Closing balance amount.,18450.25
bank_account_balance_snapshots,available_balance_amount,"DECIMAL(18,2)",,,Y,Available balance after holds.,18250.25
bank_account_balance_snapshots,book_balance_amount,"DECIMAL(18,2)",,,Y,Book balance.,18450.25
bank_account_balance_snapshots,blocked_balance_amount,"DECIMAL(18,2)",,,Y,Blocked or reserved balance.,200
bank_account_balance_snapshots,credit_turnover_amount,"DECIMAL(18,2)",,,Y,Credits in period.,6500
bank_account_balance_snapshots,debit_turnover_amount,"DECIMAL(18,2)",,,Y,Debits in period.,550
bank_account_balance_snapshots,average_30d_balance_amount,"DECIMAL(18,2)",,,Y,30-day average balance.,17230.4
bank_account_balance_snapshots,balance_source,STRING,,,Y,Synthetic balance source.,core_banking
bank_account_balance_snapshots,is_month_end_flag,BOOLEAN,,,N,Month-end balance indicator.,FALSE
service_products,service_product_id,STRING,PK,,N,Simple product identifier.,PROD_CURRENT_ACCOUNT
service_products,product_family,STRING,,,N,"Accounts, cards, loans, investments, FX, derivatives.",Accounts
service_products,product_name,STRING,,,N,Product name.,Current account
service_products,product_type,STRING,,,Y,Detailed product type.,cash account
service_products,default_currency_code,STRING,,,Y,Default product currency.,CHF
service_products,risk_weight,"DECIMAL(5,2)",,,Y,Product risk weight for scoring exercises.,1
service_products,is_cash_like_flag,BOOLEAN,,,N,Whether product is cash-like.,TRUE
service_products,is_tradeable_flag,BOOLEAN,,,N,Whether product supports investment_orders.,FALSE
service_products,requires_suitability_flag,BOOLEAN,,,N,Whether product requires suitability check.,FALSE
service_products,status,STRING,,,N,Product status.,active
service_products,start_date,DATE,,,N,SCD2 validity start date for this dimensional record.,46023
service_products,end_date,DATE,,,Y,SCD2 validity end date; blank means current record.,
money_movements,movement_id,STRING,PK,,N,Simple transaction identifier.,TXN_500001
money_movements,bank_relation_id,STRING,FK,bank_relations.bank_relation_id,Y,Related bank relation.,BR_200001
money_movements,account_id,STRING,FK,bank_accounts.account_id,N,Primary account involved.,ACC_300001
money_movements,service_product_id,STRING,FK,service_products.service_product_id,Y,Product classification.,PROD_CURRENT_ACCOUNT
money_movements,transaction_date,DATE,,,N,Date transaction was executed.,46127
money_movements,booking_date,DATE,,,Y,Date transaction was booked.,46128
money_movements,value_date,DATE,,,Y,Value date.,46127
money_movements,transaction_type,STRING,,,N,"Wire, card, cash, transfer, fee, security settlement, FX.",wire_transfer
money_movements,direction,STRING,,,N,Incoming or outgoing.,outgoing
money_movements,amount,"DECIMAL(18,2)",,,N,Original transaction amount.,15000
money_movements,currency_code,STRING,,,N,Original transaction currency.,CHF
money_movements,amount_usd,"DECIMAL(18,2)",,,Y,USD equivalent for analytics.,16450
money_movements,counterparty_name,STRING,,,Y,Displayed counterparty name.,Blue Harbor Ltd
money_movements,counterparty_jurisdiction_id,STRING,FK,jurisdiction_catalog.jurisdiction_id,Y,Counterparty jurisdiction.,CTY_GB
money_movements,payment_channel,STRING,,,Y,"Online, branch, card, swift, internal, mobile.",swift
money_movements,payment_purpose,STRING,,,Y,Purpose text.,consulting invoice
money_movements,transaction_status,STRING,,,N,"Posted, pending, rejected, reversed.",posted
money_movements,is_cash_flag,BOOLEAN,,,N,Cash transaction indicator.,FALSE
money_movements,is_cross_border_flag,BOOLEAN,,,N,Cross-border transaction indicator.,TRUE
money_movements,risk_score,INTEGER,,,Y,Transaction risk score.,61
money_movements,narrative_text,STRING,,,Y,Free-text narrative for NLP.,Invoice April consulting services
ledger_entries,ledger_entry_id,STRING,PK,,N,Simple ledger booking identifier.,BOOK_000001
ledger_entries,movement_id,STRING,FK,money_movements.movement_id,N,Transaction that generated this booking.,TXN_500001
ledger_entries,account_id,STRING,FK,bank_accounts.account_id,N,Booked account.,ACC_300001
ledger_entries,booking_date,DATE,,,N,Date of booking line.,46128
ledger_entries,value_date,DATE,,,Y,Value date of booking line.,46127
ledger_entries,debit_credit_indicator,STRING,,,N,Debit or credit.,debit
ledger_entries,booking_amount,"DECIMAL(18,2)",,,N,Booking line amount.,15000
ledger_entries,booking_currency_code,STRING,,,N,Booking currency.,CHF
ledger_entries,balance_after_booking_amount,"DECIMAL(18,2)",,,Y,Balance after booking.,18450.25
ledger_entries,booking_type,STRING,,,Y,"Principal, fee, tax, interest, reversal, correction.",principal
ledger_entries,fee_amount,"DECIMAL(18,2)",,,Y,Fee amount associated with booking.,25
ledger_entries,tax_amount,"DECIMAL(18,2)",,,Y,Tax amount associated with booking.,0
ledger_entries,booking_status,STRING,,,N,"Posted, pending, reversed.",posted
ledger_entries,reversal_ledger_entry_id,STRING,FK,ledger_entries.ledger_entry_id,Y,Original booking if this is a reversal.,
ledger_entries,booking_description,STRING,,,Y,Booking narrative.,Outgoing payment to Blue Harbor Ltd
outside_parties,outside_party_id,STRING,PK,,N,Simple external party identifier.,EXT_700001
outside_parties,movement_id,STRING,FK,money_movements.movement_id,Y,Transaction where the external party appears.,TXN_500001
outside_parties,jurisdiction_id,STRING,FK,jurisdiction_catalog.jurisdiction_id,Y,Jurisdiction of external party.,CTY_GB
outside_parties,external_party_role,STRING,,,N,"Originator, beneficiary, intermediary, correspondent, merchant.",beneficiary
outside_parties,external_party_name,STRING,,,N,Synthetic external party name.,Blue Harbor Ltd
outside_parties,external_party_type,STRING,,,Y,"Individual, company, bank, merchant, government.",company
outside_parties,bank_name,STRING,,,Y,Bank name if relevant.,Northshore Bank
outside_parties,bank_jurisdiction_id,STRING,FK,jurisdiction_catalog.jurisdiction_id,Y,Bank jurisdiction.,CTY_GB
outside_parties,account_number_masked,STRING,,,Y,Masked external account number.,GB**1234
outside_parties,address_city,STRING,,,Y,External party city.,London
outside_parties,is_known_counterparty_flag,BOOLEAN,,,N,Whether counterparty is known from history.,FALSE
outside_parties,screening_status,STRING,,,Y,"Not screened, clear, potential hit, confirmed hit.",clear
outside_parties,risk_score,INTEGER,,,Y,External party risk score.,52
outside_parties,notes,STRING,,,Y,Short note.,First payment to this beneficiary
outside_parties,start_date,DATE,,,N,SCD2 validity start date for this dimensional record.,46023
outside_parties,end_date,DATE,,,Y,SCD2 validity end date; blank means current record.,
investment_orders,investment_order_id,STRING,PK,,N,Simple trade identifier.,TRD_600001
investment_orders,account_id,STRING,FK,bank_accounts.account_id,N,Trading or custody account.,ACC_300001
investment_orders,bank_relation_id,STRING,FK,bank_relations.bank_relation_id,Y,Related bank relation.,BR_200001
investment_orders,client_id,STRING,FK,clients.client_id,Y,Client placing or benefiting from trade.,PTY_100001
investment_orders,service_product_id,STRING,FK,service_products.service_product_id,Y,Product traded.,PROD_EQUITY
investment_orders,trade_date,DATE,,,N,Trade execution date.,46122
investment_orders,settlement_date,DATE,,,Y,Settlement date.,46124
investment_orders,instrument_id,STRING,,,Y,Synthetic instrument identifier.,ISIN_ABC123
investment_orders,instrument_name,STRING,,,Y,Instrument display name.,Global Tech ETF
investment_orders,instrument_type,STRING,,,N,"Equity, bond, fund, FX, option, future, structured product.",ETF
investment_orders,buy_sell_indicator,STRING,,,N,Buy or sell.,buy
investment_orders,quantity,"DECIMAL(18,4)",,,Y,Traded quantity.,120
investment_orders,price_amount,"DECIMAL(18,6)",,,Y,Trade price.,98.45
investment_orders,trade_amount,"DECIMAL(18,2)",,,N,Gross trade amount.,11814
investment_orders,currency_code,STRING,,,N,Trade currency.,USD
investment_orders,broker_name,STRING,,,Y,Executing broker.,Alpine Markets
investment_orders,trade_status,STRING,,,N,"Booked, settled, cancelled, failed.",settled
investment_orders,suitability_result,STRING,,,Y,"Suitable, not suitable, not assessed.",suitable
monitoring_alerts,monitoring_alert_id,STRING,PK,,N,Simple AML alert identifier.,ALERT_900001
monitoring_alerts,bank_relation_id,STRING,FK,bank_relations.bank_relation_id,Y,Related bank relation.,BR_200001
monitoring_alerts,client_id,STRING,FK,clients.client_id,Y,Related client.,PTY_100001
monitoring_alerts,account_id,STRING,FK,bank_accounts.account_id,Y,Related account.,ACC_300001
monitoring_alerts,movement_id,STRING,FK,money_movements.movement_id,Y,Triggered transaction if applicable.,TXN_500001
monitoring_alerts,alert_date,DATE,,,N,Date alert was generated.,46128
monitoring_alerts,scenario_code,STRING,,,N,Monitoring scenario code.,WIRE_HIGH_RISK_COUNTRY
monitoring_alerts,scenario_name,STRING,,,Y,Scenario description.,Wire to higher risk jurisdiction
monitoring_alerts,alert_score,INTEGER,,,Y,Alert score.,82
monitoring_alerts,alert_severity,STRING,,,N,"Low, medium, high, critical.",high
monitoring_alerts,alert_status,STRING,,,N,"New, assigned, investigation, closed, escalated.",assigned
monitoring_alerts,assigned_staff_id,STRING,FK,bank_people.staff_id,Y,Alert owner.,EMP_0021
monitoring_alerts,closed_date,DATE,,,Y,Closure date.,
monitoring_alerts,closure_reason,STRING,,,Y,Reason for closure.,
monitoring_alerts,typology,STRING,,,Y,Synthetic typology label.,layering
monitoring_alerts,narrative_summary,STRING,,,Y,Short alert narrative.,High value cross-border transfer to new beneficiary
monitoring_signals,monitoring_signal_id,STRING,PK,,N,Simple signal identifier.,ASIG_000001
monitoring_signals,monitoring_alert_id,STRING,FK,monitoring_alerts.monitoring_alert_id,N,Alert explained by this signal.,ALERT_900001
monitoring_signals,movement_id,STRING,FK,money_movements.movement_id,Y,Transaction contributing to the signal.,TXN_500001
monitoring_signals,signal_name,STRING,,,N,Signal name.,new_counterparty
monitoring_signals,signal_value,STRING,,,Y,Observed value.,first payment to beneficiary
monitoring_signals,threshold_value,STRING,,,Y,Threshold used by scenario.,no activity in prior 180 days
monitoring_signals,score_contribution,INTEGER,,,Y,Points contributed to alert score.,25
monitoring_signals,signal_date,DATE,,,N,Date signal was evaluated.,46128
monitoring_signals,is_rule_breached_flag,BOOLEAN,,,N,Whether signal breached the threshold.,TRUE
monitoring_signals,explanation_text,STRING,,,Y,Human-readable explanation.,Beneficiary had no prior transaction history
review_cases,review_case_id,STRING,PK,,N,Simple investigation case identifier.,CASE_800001
review_cases,monitoring_alert_id,STRING,FK,monitoring_alerts.monitoring_alert_id,Y,Source alert if opened from alert.,ALERT_900001
review_cases,bank_relation_id,STRING,FK,bank_relations.bank_relation_id,Y,Case relationship.,BR_200001
review_cases,client_id,STRING,FK,clients.client_id,Y,Main client in case.,PTY_100001
review_cases,case_open_date,DATE,,,N,Date case was opened.,46129
review_cases,case_due_date,DATE,,,Y,Target completion date.,46159
review_cases,case_close_date,DATE,,,Y,Date case was closed.,
